id,concepts,relations,elements,role,scene,encoding&recognition [ms],learning&structuring [ms]
1625761921021,6,4,10,23,15,5779,84039
1625761921138,8,6,10,24,15,18127,57673
1625761924624,6,6,10,24,14,10532,66911
1625761937754,8,8,10,22,12,20719,20130
1625761939491,2,6,10,21,10,3795,12563
1625761943113,6,8,10,25,10,18266,17621
1625761954960,6,2,10,18,18,8255,158244
1625761955524,4,2,10,18,14,3265,63613
1625761958107,4,8,10,23,12,10945,23501
1625761971002,2,6,10,21,11,5608,20293
1625761985228,2,8,4,8,22,11818,233239
1625761991576,2,8,10,22,1,1149,0
1625762000428,2,8,10,22,2,4311,23
1625762001354,4,4,10,22,14,6992,67980
1625762004670,6,8,10,26,11,17568,26155
1625762010670,2,8,10,22,3,5181,90
1625762013313,8,8,10,23,13,23814,27465
1625762014550,2,6,10,24,12,5596,32593
1625762015731,4,8,10,24,13,12637,31081
1625762020610,4,6,10,22,15,6313,92560
1625762021444,2,8,10,24,4,5247,329
1625762032764,2,8,10,21,5,5024,706
1625762040342,8,6,10,22,16,19980,77803
1625762040991,4,2,10,18,15,4043,76598
1625762043789,2,8,10,23,6,4801,1306
1625762045142,6,6,10,21,15,15116,90796
1625762060293,2,8,10,24,7,4627,4599
1625762065448,6,4,10,24,16,10802,118954
1625762076689,2,8,10,21,8,6220,4713
1625762077906,6,8,10,25,12,14203,40436
1625762080011,2,6,10,23,13,5537,53476
1625762092952,4,8,10,22,14,13589,48967
1625762097108,2,8,10,23,9,6189,7445
1625762104425,2,4,4,7,22,3541,292608
1625762106701,2,4,10,22,1,483,0
1625762107200,8,8,10,24,14,23556,46936
1625762110394,2,4,10,22,2,1812,26
1625762111488,4,4,10,23,15,8017,93929
1625762113797,2,4,10,23,3,1514,91
1625762117741,2,4,10,24,4,1994,332
1625762121039,2,8,10,22,10,6856,10915
1625762122027,2,4,10,23,5,1596,926
1625762128261,2,4,10,23,6,1333,2763
1625762136127,2,4,10,23,7,1694,3932
1625762146492,6,2,10,18,19,2798,185697
1625762148153,2,4,10,23,8,1989,7436
1625762151667,2,8,10,23,11,6352,16747
1625762162032,2,6,10,23,14,6229,68299
1625762163733,2,4,10,24,9,2531,10723
